Email Text,char_length,true_label,pred_label,features
"wanted : real estate investors if you prefer not to receive e - mails from real estate fortunes in the future , please send a blank email to unsubscribe @ realestatefortunes . com or write to us at : 228 west lincoln highway # 133 , schererville , indiana 46375 . we will respect your privacy . please refer all questions , opinions or additional feedback to : service dept 9420 reseda blvd # 133 northridge , ca 91324",418,0,0,"['Unsubscribe link suspect', 'Generic sender info', 'No personal greeting']"
"important el paso phone change - please read beware - effective today , we will be taking over both - not just the standard one - phone lines for el paso during off peak hours and on weekends . this means we ' ll get calls that would previously have been directed to roger and steve ' s cell phones . all calls will still ring in on the el paso line . please read the e - mail in lotus notes titled "" epe marketing availability "" for details . and let me know if you have questions . thanks , kate",497,1,0,"['Urgent tone about phone change', 'No official sender verification', 'Lack of personal greeting']"
"request for netco transmission contract on georgia transmission ( gtc ) gtc personnel told us that netco will not be able to obtain transmission on gtc until epmi ' s bill is paid . we will address this issue further with gtc after a formal submission of a transmission request from netco . valid or not , this could delay implementation of transmission on gtc .",362,1,0,"['Lack of greeting', 'No sender info', 'Urgent tone']"
"for this information. I gave Alsa a try, couldn't figure out how to enable digital out, although I'm sure if I put enough time into it, could have gotten it working. Also when playing mp3s in analog mode, every time I switched between mp3s there was a bit of static. Noticed a new distribution geared towards audio applications, AGNULA (http://www.agnula.org/) uses Alsa as well. Seems though the latest open source emu10k1 drivers (SBLive! 5.1) work fair enough. Anyone else experience these problems with Alsa? Are there alot of people on this list using Alsa?Regards,LanceOn Sat, 2002-08-24 at 17:45, Angles Puglisi wrote: > FYI, This is how I make my ALSA rpms ... some people on the (null) list did not > realize it was pretty easy. > > btw, I do this lot since I've upgraded from RH7.3 to Limbo1 to Limbo2 to Null all in > a week (probably). > > forward - original mail: > From ""Angles Puglisi"" > Date 08/24/2002 - 06:38:03 pm > Subject Re: When are we going to get.... > ---- > > From: Angles Puglisi > To: limbo-list@spamassassin.taint.org > Subject: Re: When are we going to get.... > Date: 24 Aug 2002 22:40:40 +0000 > > OK, I do this every time I update a kernel. > > The 1st time I added ALSA, I tried a non-root rpom build but the DEV things were not > made. Other than that, I bet you could do non-root. The following can be scripted > easily. > > 1. get (a) alsa-drivers, (b) alas-lib, and (c) alsa-utils tarballs (if upgrading the > kernel then you probably have them from your last install). > 2. unpack them somewhere. > 3. for each of them, go to the top directory of the unpacked tarball, and do > ../configure, then look in (I'm going by memory) TOPDIR/utils/* you should see a spec > file there. Do this for the 3 tarballs and you get 3 spec files. > > 4. put the source tarballs in SOURCES and the spec files in SPECS, go in order from > a, b, then c, doing > ""rpmbuild -ba SPECS/alsa-[X].spec; rpm -Uvh RPMS/i386/alsa-[X].rpm"" > > 5. do that in order for the 3 spec files and you have just installed the alsa > drivers on your system. The 1st time you do this you need to put the correct stuff > in your modules.conf file (may take some research) then you get the alsa driver and > OSS compat capabilities, or you can choose not to use the OOS compat stuff. > > Script making the spec, then building and upgrading, as above, and you have > ""no-sweat"" ALSA. > > NOTE: the (null) rpmbuild did take some tweaking, it does a check for files in the > buildroot that you don't specify in your files section. In this case there is an > extra file (going by memory) ""/include/sys/asound.h"". Add a line at the end on the > ""install"" section of the spec file to delete that file and you are good to go. > > Gordon Messmer (yinyang@eburg.com) wrote*: > > > >On Fri, 2002-08-23 at 03:41, Matthias Saou wrote: > >> > >> Probably when Red Hat Linux gets a 2.6 kernel ;-) Until then, a few places > >> provide good quality alsa packages, but indeed you still have to patch and > >> recompile your kernel. > > > >Not so. Alsa is build-able independently of the kernel. > > > >> Maybe some day I'll try ALSA (never done it yet), and that day you can > >> expect all needed packages to appear on freshrpms.net :-) > > > >I'd be interested in working with you on that if you want those > >packages. > > > > > > > > > >_______________________________________________ > >Limbo-list mailing list > >Limbo-list@redhat.com > > > > -- > That's ""angle"" as in geometry. -- : ####[ Linux One Stanza Tip (LOST) ]###########################Sub : Extracting lines X to Y in a text file LOST #261Use sed ... Syntax: [$sed -n 'X,Yp' < textfile.txt]. Following will extract lines 5-10 from textin.fil to textout.fil ... $sed -n '5,10p' < textin.fil > textout.fil######################################## : _______________________________________________ RPM-List mailing list http://lists.freshrpms.net/mailman/listinfo/rpm-list",3917,1,1,"['informative tone', 'technical details', 'certified sources']"
"URL: http://www.newsisfree.com/click/-4,8268029,1717/
Date: 2002-09-26T08:22:40+01:00[IMG: http://www.newsisfree.com/Images/fark/azcentral.gif ([AZCentral])]
",158,1,0,"['suspicious URL', 'lack of greeting', 'unknown sender']"
"re : netco current list i will start on this first thing in the morning . . . . . . . amy - - - - - original message - - - - - from : kitchen , louise sent : monday , december 03 , 2001 5 : 45 pm to : fitzpatrick , amy subject : netco current list could you start checking - do it last as new lists coming that all these people are still here > louise kitchen chief operating officer enron americas tel : 713 853 3488 fax : 713 646 2308",436,1,1,"['professional tone', 'no urgent language', 'verifiable sender']"
"Once upon a time, """"Angles"" wrote :> FYI, This is how I make my ALSA rpms ... some people on the (null) list
> did not realize it was pretty easy.Thanks Angles! I really think I'll give ALSA a shot fairly soon then ;-)Matthias-- 
Matthias Saou                                World Trade Center
-------------                                Edificio Norte 4 Planta
System and Network Engineer                  08039 Barcelona, Spain
Electronic Group Interactive                 Phone : +34 936 00 23 23_______________________________________________
RPM-List mailing list 
http://lists.freshrpms.net/mailman/listinfo/rpm-list",623,1,1,"['Official mailing list', 'No suspicious links', 'No urgent tone']"
"re : copano p / l 01 / 00 - s 93481 cynthia / daren : kim vaughn has taken over all of kathy ' s meters . i will look at this issue with kim since she is "" new "" . fred from : cynthia hakemack 01 / 08 / 2001 04 : 00 pm to : fred boas / hou / ect @ ect cc : charles howard / na / enron @ enron , charlene richmond / hou / ect @ ect subject : re : copano p / l 01 / 00 - s 93481 fred , can you help with this since kathy isn ' t here anymore ? - - - - - - - - - - - - - - - - - - - - - - forwarded by cynthia hakemack / hou / ect on 01 / 08 / 2001 03 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - daren j farmer 01 / 08 / 2001 03 : 54 pm to : cynthia hakemack / hou / ect @ ect cc : subject : re : copano p / l 01 / 00 - s 93481 this is a call out meter . i think the best person to help you would be kathy benedict in volume management . d from : cynthia hakemack 01 / 08 / 2001 03 : 43 pm to : daren j farmer / hou / ect @ ect cc : charles howard / na / enron @ enron , charlene richmond / hou / ect @ ect subject : copano p / l 01 / 00 - s 93481 daren , i ' m looking at s 93481 for 01 / 00 . 3 , 461 mmbtu was scheduled to copano p / l in 02 / 00 and the counterparty was paid . in 05 / 00 the volumes were reversed from this deal . would you be able to tell why they were reversed ? i ' m trying to determine if this is a valid recoverable item . thanks .",1374,1,1,"['No suspicious links', 'No urgent language', 'Professional tone']"
"proj . x analytics diligence paul , vince and i spent some time thinking about the diligence process for the trading analytics . there is a limited amount that can be accomplished in a two day time period . i think a reasonable start would be the following : 1 . obtain an audited history of the trading strategies which have been implemented in order to verify profitability , and p / l volatility of each . 2 . review needed working capital and risk capital requirements and compare these to projections for trading income . 3 . review current level of access to electronic markets and verify that a change of ownership would not have adverse consequences , i . e . are there guarantees of continued access using the current systems ? 4 . review feasibility of entry into proposed new markets ? it is far from clear that there will be any synergy with most commodity markets given the current limited "" electronic "" liquidity . 5 . review , at least qualitatively , the current trading strategies being used . try to develop some estimate of how fast the profitability of these strategies will disappear as other ' s implement similar trading models . what is the trade off between trade quantity and slippage . 6 . review the methodology used to generate new trading strategies which will be needed to replace the current models as they become unprofitable and outdated . 7 . try to determine if there will be any value in transfer of trading technology to enron ' s other markets , given the illiquidity of these markets as compared to the financial equity markets . if there were a sufficiently long time horizon for our analysis , we would probably want to run their system on a test set of data . let me know if you have other suggestions . - - stinson",1759,1,1,"['context-specific language', 'no urgent tone', 'technical details']"
start date : 2 / 4 / 02 ; hourahead hour : 6 ; start date : 2 / 4 / 02 ; hourahead hour : 6 ; no ancillary schedules awarded . no variances detected . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002020406 . txt,277,1,1,"['no suspicious content', 'official schedule info', 'no urgent language']"
