Email Text,Label,Predict
"tractebel signed vitro ena entered into a purchase and sale agreement today to sell 80 % of our monterrey project to tractebel . it is anticipated that it will take 60 - 90 days to get idb and cfc approval , and have targeted a mid - august closing . some of you may be aware that tractebel attempted to add a new cp at the last minute ( last monday ) . we did not accept the cp but rather crafted another solution ( thanks maria elena ) of no real value to enron but with optical value to tractebel . i will keep you all up to date as this transaction progresses . thanks , don",Safe Email,Safe Email
"
A:link {
    TEXT-DECORATION: none
}
A:active {
    TEXT-DECORATION: none
}
A:visited {
    TEXT-DECORATION: none
}
A:hover {
    COLOR: #0033ff; TEXT-DECORATION: underline
}
For 
      Immediate Release
Cal-Bay (Stock Symbol:Â CBYI) 
      Watch for analyst ""Strong Buy Recommendations"" and several advisory 
      newsletters picking CBYI.Â Â  CBYI has filed to be traded on 
      theÂ OTCBB, share prices historically INCREASE when companies get 
      listed on this larger tradingÂ exhange. CBYI is trading around $.30Â¢ 
      and should skyrocket to $2.66 - $3.25 a share in the near future. Â  
      Put CBYI on your watch list, acquire a postion
TODAY. 
REASONS TO INVEST IN CBYI
A profitable company, NO DEBT and is on track to beat ALL earnings 
      estimates with increased revenue of 50% annually! 
One of the FASTEST growing distributors in environmental & safety 
      equipment instruments. 
      Excellent management team, several EXCLUSIVE 
      contracts.Â  IMPRESSIVE client list including theÂ U.S. Air Force, 
      Anheuser-Busch, Chevron Refining and Mitsubishi Heavy Industries, 
      GE-Energy & Environmental Research. 
RAPIDLY GROWING INDUSTRYÂ  
      Industry revenues exceed $900 million, estimates indicate that there 
      could be as much as $25 billion from ""smell technology"" by the end of 
      2003.
!!!! CONGRATULATIONS 
      !!!!!ToÂ our subscribers that took advantage of 
      ourÂ last recommendation to buyÂ NXLC.Â  It rallied from $7.87 
      toÂ $11.73!Â Â 
ALL removes HONERED. Please allow 7 
      days to be removed and send ALL address to: honey9531@mail.net.cnÂ 
Â 
Certain statements contained in this news release may be 
forward-looking statements within the meaning of The Private Securities 
Litigation Reform Act of 1995. These statements may be identified by such terms 
as ""expect"", ""believe"", ""may"", ""will"", and ""intend"" or similar terms. We are NOT 
a registered investment advisor or a broker dealer. This is NOT an offer to buy 
or sell securities. No recommendation that the securities of the companies 
profiled should be purchased, sold or held by individuals or entities that learn 
of the profiled companies. We were paid $27,000 in cash by a third party to 
publish this report. Investing in companies profiled is high-risk and use of 
this information is for reading purposes only. If anyone decides to act as an 
investor, then it will be that investor's sole risk. Investors are advised NOT 
to invest without the proper advisement from an attorney or a registered 
financial broker. Do not rely solely on the information presented, do additional 
independent research to form your own opinion and decision regarding investing 
in the profiled companies. Be advised that the purchase of such high-risk 
securities may result in the loss of your entire investment. The owners of this publication may already own free trading shares in 
CBYI and may immediately sell all or a portion of these shares into the open 
market at or about the time this report is published.Â  Factual statements 
are made as of the date stated and are subject to change without notice.Â  
Not intended for recipients or residents of CA,CO,CT,DE,ID, IL,IA,LA,MO,NV,NC,OK,OH,PA,RI,TN,VA,WA,WV,WI. Void where 
prohibited.Â  Copyright c 2001*****
",Phishing Email,Phishing Email
"re : noms / actual vols for may lst we agree "" eileen ponton "" on 05 / 02 / 2001 10 : 56 : 36 am to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa jones / texas utilities @ tu , hpl . scheduling @ enron . com , liz . bellamy @ enron . com cc : subject : noms / actual vols for may lst nom mcf mmbtu 47 , 500 43 , 506 44 , 681 nom : 9 : 00 to 14 : 00 30 , 000 ( 5 hours ) 14 : 00 - 4 : 00 60 , 000 ( 10 hours ) 4 : 00 to 9 : 00 40 , 000 ( 5 hours )",Safe Email,Safe Email
"attn : quest , your contract payment notification the desk of the executive governor central bank of nigeria . prof . charles soludo attn : quest , your immediate contract payment # : mav / nnpc / fgn / min / 009 from the records of outstanding contractors due for payment with the federal government of nigeria your name and company was discovered as next on the list of the outstanding contractors who have not received their payments . i wish to inform you that your payment is being processed and will be released to you as soon as you respond to this letter . also note that from my record in my file your outstanding contract payment is us $ 23 . 5 million dollars ( twenty three million five hundred dollars ) . please re - confirm to me if this is inline with what you have in your record and also re - confirm to me the followings 1 ) your full name . 2 ) phone , fax and mobile # . 3 ) company name , position and address . 4 ) profession , age and marital status . as soon as this informations are received , your payment will be made to you in a certified bank draft from central bank of nigeria and a copy will be given to you for you to take to your bank and confirm it . you must call me on my direct number as soon as you receive this letter for a serious discussion with me and also get back to me immediately with the private e - mail ( draftpaymentoffice @ myway . com ) regards and stay bless , prof charles soludo . executive governor , central bank of nigeria . tiscali adsl 2 mega free : naviga gratis tutto l ' anno ! supera tutti i limiti di velocita ' con tiscali adsl 2 mega free . sei libero da costi fissi e , se ti abboni entro il 25 novembre , navighi gratis fino al 31 dicembre 2004 e non paghi il costo di adesione . http : / / abbonati . tiscali . it / adsl /",Phishing Email,Safe Email
"asking for advice regarding summer associate position at enron gentlemen , here is a guy who is looking for a summer associate position . i looked at his resume and think that he may be worth talking to . pavel - - - - - - - - - - - - - - - - - - - - - - forwarded by pavel zadorozhny / hou / ect on 01 / 12 / 2001 01 : 37 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - dmitri villevald on 01 / 03 / 2001 06 : 56 : 54 pm to : "" pavel zadorozhny ( e - mail ) "" cc : subject : asking for advice regarding summer associate position at enron dear mr . zadorozhny : maxim philippov suggested that i write you . being a first - year mba student at owen graduate school of management ( vanderbilt university ) with a finance concentration , i am looking for a summer associate position at enron . the area of my particular interest is enron ' s risk management products ( commodity derivatives research and trading ) . graduating from novosibirsk state university with major in physics , i am eager to apply my experience with the use of theoretical and statistical physics techniques to the managing of modeling processes and creating complex financial and trading models . i strongly believe that my graduate education coupled with undergraduate background in physics , solid work experience in finance and proven entrepreneurial spirit will allow me to contribute to enron as a summer associate . i would really appreciate your advice regarding employment opportunities at enron and would like to find out more about enron capital & trade resources corp . i will call you within this week to follow up on my request . thank you very much for your time . sincerely , dmitri villevald enclosure : resume > p . s . looking through an example of margin risk hedging at enron ' s web site , i think i found a small mistake there . url of this page is ( producer application ) the second sentence of the paragraph beginning with "" paradigm and enron exchange . . . "" states the following . for example , if the actual margin is $ 1 . 25 / mmbtu for a given month , then paradigm will pay enron $ 0 . 13 / mmbtu . alternatively , if the actual margin is $ 2 . 00 / mmbtu , then enron will pay paradigm $ 0 . 62 / mmbtu . i believe , if i am reading it correctly , the money should flow in the opposite direction , namely : for example , if the actual margin is $ 1 . 25 / mmbtu for a given month , then enron will pay paradigm $ 0 . 13 / mmbtu . alternatively , if the actual margin is $ 2 . 00 / mmbtu , then paradigm will pay enron $ 0 . 62 / mmbtu . am i right ? again , thank you very much for your time . - resume . doc",Safe Email,Safe Email
"tw weekly , 8 - 31 - 00 please see attached file and call me if you have any questions at ( 281 ) 647 - 0769 . jeanette doll",Safe Email,Safe Email
"improves vision age should be nothing more than a number it ' s okay to want to hold on to your young body as long as you can view more about a new lifespan enhancement press here with increasing longevity for an increasing segment of the population , this is the frontier for the new millennium - dr david howard feel great , look great address listed above and just see site to be gone from the db this one of mine is the first that ever happened oh ! i really think , continued the boy , nodding sagely , that it wouldn ' t be well to have these records scattered around their use would give some folks unfair advantage over others , you know",Phishing Email,Safe Email
"want to make more money ? order confirmation . your order should be shipped by january , via fedex . your federal express tracking number is % random _ word . thank you for registering . your userid is : % random _ word learn to make a fortune with ebay ! complete turnkey system software - videos - turorials clck here if you would not like to receive future mailings .",Phishing Email,Safe Email
"Cell Booster Antenna
USA Today says ""The must have of the New millenium""NBC's Dateline says ""If you want a clear sound then this penny $ item can save you minutes in Clarity""
BOOST 
        Your Reception
on 
        any cell phone or cordless
Â 
300% More Clarity!
Don't 
              buy another phone because of bad recepiton.
              Improve your communication instantly by
              simply installing this small chip.
Powerful Reception Booster
              Save 70%... As Seen On T.V.!
No 
              other product compares!
Ultra-thin and transparent
Installs in a second!
Power of a 4ft antenna!
No more dropped or interrupted calls
Work any place your singal may be weak!
Advertised on T.V. for over 3 times the price.
Click 
              Here Now
""...it was so easy to 
              install...""
1810Bjui2-440aPRY0870NWHC9-972kOhi7655OulA3-413l44
",Phishing Email,Safe Email
"wharton tiger team vince and kristin , i forwarded by separate emails the lists of tiger teams 1 and 3 . thanks ! - - christie . - - - - - forwarded by christie patrick / hou / ect on 02 / 15 / 01 11 : 28 pm - - - - - kristin gandy @ enron 02 / 15 / 01 01 : 07 pm to : vince j kaminski / hou / ect @ ect , christie patrick / hou / ect @ ect cc : subject : wharton tiger team vince and christie , greetings . i am writing because i need a break out of names for the tiger team group 1 and 3 . i understand tiger team group 2 has decided not to be a part of enron and i also need to know who those students are . i have a listing of all the tiger team members but they are listed alphabetically so that does not help me with my quest . we are trying to firm up the details and get offers out to the correct people for summer associate positions in vince ' s department . regards , kristin",Safe Email,Safe Email
